region,month,rainfall_mm_per_day,temperature_avg_c,relative_humidity_pct
gedo,2015-10-01,2.6739573,27.571077,65.632164
gedo,2015-11-01,3.3193128,26.974913,71.139046
gedo,2015-12-01,0.31275806,29.738564,46.9827
gedo,2016-01-01,0.001565313,31.106705,35.477936
gedo,2016-02-01,0.10417627,30.855085,32.284195
gedo,2016-03-01,0.086647935,32.34791,40.11586
gedo,2016-04-01,6.636855,29.783352,57.60489
gedo,2016-05-01,1.3040898,27.136955,63.138493
gedo,2016-06-01,0.19888128,27.495062,52.34805
gedo,2016-07-01,0.051196523,26.826149,48.184002
gedo,2016-08-01,0.13390127,26.984041,48.06219
gedo,2016-09-01,0.06924294,27.324392,46.758343
gedo,2016-10-01,0.17852585,28.661613,49.80937
gedo,2016-11-01,2.971528,27.614779,61.517014
gedo,2016-12-01,0.44565445,28.708971,47.106316
gedo,2017-01-01,0.018588573,29.397108,31.315786
gedo,2017-02-01,0.06146793,30.82985,37.91338
gedo,2017-03-01,0.032442242,31.124857,37.57413
gedo,2017-04-01,2.155689,29.386608,54.967285
gedo,2017-05-01,0.8785986,27.98655,61.864273
gedo,2017-06-01,0.36625853,27.662827,55.27239
gedo,2017-07-01,0.09945701,27.512709,48.849453
gedo,2017-08-01,0.15215759,27.729708,49.479282
gedo,2017-09-01,0.17291234,28.274128,47.71354
gedo,2017-10-01,0.791953,28.81263,53.510483
gedo,2017-11-01,3.7052643,26.758839,64.5592
gedo,2017-12-01,0.001750024,28.994835,33.132572
gedo,2018-01-01,0.0012765229,29.096043,31.605902
gedo,2018-02-01,0.06877814,30.124943,39.467228
gedo,2018-03-01,0.70979255,30.67572,43.949444
gedo,2018-04-01,6.9287,26.917456,74.12844
gedo,2018-05-01,2.222846,26.172018,73.851845
gedo,2018-06-01,0.17347375,27.048641,56.245235
gedo,2018-07-01,0.13928671,26.630556,52.834866
gedo,2018-08-01,0.1407694,27.002758,50.21474
gedo,2018-09-01,0.24499197,27.960457,50.454018
gedo,2018-10-01,2.109807,27.958965,55.816704
gedo,2018-11-01,1.6376408,27.456778,64.04744
gedo,2018-12-01,0.7984159,29.035748,47.5479
gedo,2019-01-01,0.0039678416,30.041882,34.127254
gedo,2019-02-01,0.014718257,31.018301,35.701584
gedo,2019-03-01,0.29112542,31.559519,38.54994
gedo,2019-04-01,1.7103037,30.544464,50.668583
gedo,2019-05-01,2.593036,28.0577,66.1636
gedo,2019-06-01,0.16112445,28.356094,52.227932
gedo,2019-07-01,0.30547336,27.392818,52.52939
gedo,2019-08-01,0.12685376,27.8161,49.142696
gedo,2019-09-01,0.41711023,28.307772,49.52977
gedo,2019-10-01,6.239145,26.391903,73.45262
gedo,2019-11-01,4.4075284,26.164774,73.12884
gedo,2019-12-01,1.1239389,27.44247,59.033916
gedo,2020-01-01,0.22285002,30.16657,41.00916
gedo,2020-02-01,0.022623908,31.26652,37.37063
gedo,2020-03-01,1.7476419,30.963306,47.359486
gedo,2020-04-01,3.7467263,28.261751,66.46466
gedo,2020-05-01,0.8549357,28.056368,61.22565
gedo,2020-06-01,0.22867484,28.136612,52.603817
gedo,2020-07-01,0.28018388,27.159784,51.647167
gedo,2020-08-01,0.18030949,27.165459,51.536343
gedo,2020-09-01,0.13421862,28.006014,48.903458
gedo,2020-10-01,1.0573941,28.847984,54.546406
gedo,2020-11-01,2.7551787,27.049438,65.25562
gedo,2020-12-01,0.111666106,29.582098,38.383354
gedo,2021-01-01,0.0015520211,29.601446,33.74101
gedo,2021-02-01,0.0013610094,30.445097,35.224247
gedo,2021-03-01,0.18732645,30.777401,37.84518
gedo,2021-04-01,3.6918697,28.635063,62.317104
gedo,2021-05-01,0.43502453,28.393393,54.381584
gedo,2021-06-01,0.16486678,27.515907,49.96873
gedo,2021-07-01,0.10550842,26.95035,48.600517
gedo,2021-08-01,0.081176825,27.317822,48.113197
gedo,2021-09-01,0.0952557,27.913656,49.186848
gedo,2021-10-01,0.14551872,28.92012,49.308662
gedo,2021-11-01,0.72629964,29.099825,50.980183
gedo,2021-12-01,0.15562536,29.328451,44.20073
gedo,2022-01-01,0.014181277,30.029884,34.366444
gedo,2022-02-01,0.0020700383,30.526669,33.45031
gedo,2022-03-01,0.07230978,31.031675,37.831585
gedo,2022-04-01,1.3503985,30.240704,51.30224
gedo,2022-05-01,1.0687325,28.292498,57.73351
gedo,2022-06-01,0.26788938,27.339293,52.54177
gedo,2022-07-01,0.37312463,26.023819,51.664845
gedo,2022-08-01,0.16777976,26.84954,48.116493
gedo,2022-09-01,0.052164573,27.811525,46.692753
gedo,2022-10-01,0.6093651,27.885555,53.728954
gedo,2022-11-01,0.28726324,28.393135,55.007504
gedo,2022-12-01,0.07701252,29.529066,41.209488
gedo,2023-01-01,0.022319855,30.045677,33.3948
gedo,2023-02-01,0.0009175234,30.252687,31.775093
gedo,2023-03-01,1.3572582,29.545954,50.71641
gedo,2023-04-01,2.12308,27.738743,68.306366
gedo,2023-05-01,0.13979666,28.533474,57.360535
gedo,2023-06-01,0.06784135,28.411701,50.673534
gedo,2023-07-01,0.105505064,27.21729,51.48559
gedo,2023-08-01,0.11389284,27.822792,49.5811
gedo,2023-09-01,0.07288241,28.820492,48.794914
gedo,2023-10-01,2.1295474,27.780914,63.38322
gedo,2023-11-01,7.0930943,25.538654,79.88102
gedo,2023-12-01,0.030186066,28.521357,51.40406
gedo,2024-01-01,0.005475528,29.879547,39.97088
gedo,2024-02-01,0.0065296628,31.439503,39.797153
gedo,2024-03-01,0.12771162,31.642567,42.969265
gedo,2024-04-01,6.2724853,28.145939,71.65225
gedo,2024-05-01,0.39047495,28.713923,58.874428
gedo,2024-06-01,0.0843062,28.077883,51.582657
gedo,2024-07-01,0.13516256,27.47477,52.549416
gedo,2024-08-01,0.23481597,27.38723,51.742798
